,Country/Region,date,confirmed,deaths,recovered
0,Afghanistan,2020-01-22,0,0,0
1,Albania,2020-01-22,0,0,0
2,Algeria,2020-01-22,0,0,0
3,Andorra,2020-01-22,0,0,0
4,Angola,2020-01-22,0,0,0
5,Antigua and Barbuda,2020-01-22,0,0,0
6,Argentina,2020-01-22,0,0,0
7,Armenia,2020-01-22,0,0,0
8,Australia,2020-01-22,0,0,0
9,Austria,2020-01-22,0,0,0
10,Azerbaijan,2020-01-22,0,0,0
11,Bahamas,2020-01-22,0,0,0
12,Bahrain,2020-01-22,0,0,0
13,Bangladesh,2020-01-22,0,0,0
14,Barbados,2020-01-22,0,0,0
15,Belarus,2020-01-22,0,0,0
16,Belgium,2020-01-22,0,0,0
17,Belize,2020-01-22,0,0,0
18,Benin,2020-01-22,0,0,0
19,Bhutan,2020-01-22,0,0,0
20,Bolivia,2020-01-22,0,0,0
21,Bosnia and Herzegovina,2020-01-22,0,0,0
22,Botswana,2020-01-22,0,0,0
23,Brazil,2020-01-22,0,0,0
24,Brunei,2020-01-22,0,0,0
25,Bulgaria,2020-01-22,0,0,0
26,Burkina Faso,2020-01-22,0,0,0
27,Burma,2020-01-22,0,0,0
28,Burundi,2020-01-22,0,0,0
29,Cabo Verde,2020-01-22,0,0,0
30,Cambodia,2020-01-22,0,0,0
31,Cameroon,2020-01-22,0,0,0
32,Canada,2020-01-22,0,0,0
33,Central African Republic,2020-01-22,0,0,0
34,Chad,2020-01-22,0,0,0
35,Chile,2020-01-22,0,0,0
36,China,2020-01-22,548,17,28
37,Colombia,2020-01-22,0,0,0
38,Comoros,2020-01-22,0,0,0
39,Congo (Brazzaville),2020-01-22,0,0,0
40,Congo (Kinshasa),2020-01-22,0,0,0
41,Costa Rica,2020-01-22,0,0,0
42,Cote d'Ivoire,2020-01-22,0,0,0
43,Croatia,2020-01-22,0,0,0
44,Cuba,2020-01-22,0,0,0
45,Cyprus,2020-01-22,0,0,0
46,Czechia,2020-01-22,0,0,0
47,Denmark,2020-01-22,0,0,0
48,Diamond Princess,2020-01-22,0,0,0
49,Djibouti,2020-01-22,0,0,0
50,Dominica,2020-01-22,0,0,0
51,Dominican Republic,2020-01-22,0,0,0
52,Ecuador,2020-01-22,0,0,0
53,Egypt,2020-01-22,0,0,0
54,El Salvador,2020-01-22,0,0,0
55,Equatorial Guinea,2020-01-22,0,0,0
56,Eritrea,2020-01-22,0,0,0
57,Estonia,2020-01-22,0,0,0
58,Eswatini,2020-01-22,0,0,0
59,Ethiopia,2020-01-22,0,0,0
60,Fiji,2020-01-22,0,0,0
61,Finland,2020-01-22,0,0,0
62,France,2020-01-22,0,0,0
63,Gabon,2020-01-22,0,0,0
64,Gambia,2020-01-22,0,0,0
65,Georgia,2020-01-22,0,0,0
66,Germany,2020-01-22,0,0,0
67,Ghana,2020-01-22,0,0,0
68,Greece,2020-01-22,0,0,0
69,Grenada,2020-01-22,0,0,0
70,Guatemala,2020-01-22,0,0,0
71,Guinea,2020-01-22,0,0,0
72,Guinea-Bissau,2020-01-22,0,0,0
73,Guyana,2020-01-22,0,0,0
74,Haiti,2020-01-22,0,0,0
75,Holy See,2020-01-22,0,0,0
76,Honduras,2020-01-22,0,0,0
77,Hungary,2020-01-22,0,0,0
78,Iceland,2020-01-22,0,0,0
79,India,2020-01-22,0,0,0
80,Indonesia,2020-01-22,0,0,0
81,Iran,2020-01-22,0,0,0
82,Iraq,2020-01-22,0,0,0
83,Ireland,2020-01-22,0,0,0
84,Israel,2020-01-22,0,0,0
85,Italy,2020-01-22,0,0,0
86,Jamaica,2020-01-22,0,0,0
87,Japan,2020-01-22,2,0,0
88,Jordan,2020-01-22,0,0,0
89,Kazakhstan,2020-01-22,0,0,0
90,Kenya,2020-01-22,0,0,0
91,"Korea, South",2020-01-22,1,0,0
92,Kosovo,2020-01-22,0,0,0
93,Kuwait,2020-01-22,0,0,0
94,Kyrgyzstan,2020-01-22,0,0,0
95,Laos,2020-01-22,0,0,0
96,Latvia,2020-01-22,0,0,0
97,Lebanon,2020-01-22,0,0,0
98,Lesotho,2020-01-22,0,0,0
99,Liberia,2020-01-22,0,0,0
100,Libya,2020-01-22,0,0,0
101,Liechtenstein,2020-01-22,0,0,0
102,Lithuania,2020-01-22,0,0,0
103,Luxembourg,2020-01-22,0,0,0
104,MS Zaandam,2020-01-22,0,0,0
105,Madagascar,2020-01-22,0,0,0
106,Malawi,2020-01-22,0,0,0
107,Malaysia,2020-01-22,0,0,0
108,Maldives,2020-01-22,0,0,0
109,Mali,2020-01-22,0,0,0
110,Malta,2020-01-22,0,0,0
111,Mauritania,2020-01-22,0,0,0
112,Mauritius,2020-01-22,0,0,0
113,Mexico,2020-01-22,0,0,0
114,Moldova,2020-01-22,0,0,0
115,Monaco,2020-01-22,0,0,0
116,Mongolia,2020-01-22,0,0,0
117,Montenegro,2020-01-22,0,0,0
118,Morocco,2020-01-22,0,0,0
119,Mozambique,2020-01-22,0,0,0
120,Namibia,2020-01-22,0,0,0
121,Nepal,2020-01-22,0,0,0
122,Netherlands,2020-01-22,0,0,0
123,New Zealand,2020-01-22,0,0,0
124,Nicaragua,2020-01-22,0,0,0
125,Niger,2020-01-22,0,0,0
126,Nigeria,2020-01-22,0,0,0
127,North Macedonia,2020-01-22,0,0,0
128,Norway,2020-01-22,0,0,0
129,Oman,2020-01-22,0,0,0
130,Pakistan,2020-01-22,0,0,0
131,Panama,2020-01-22,0,0,0
132,Papua New Guinea,2020-01-22,0,0,0
133,Paraguay,2020-01-22,0,0,0
134,Peru,2020-01-22,0,0,0
135,Philippines,2020-01-22,0,0,0
136,Poland,2020-01-22,0,0,0
137,Portugal,2020-01-22,0,0,0
138,Qatar,2020-01-22,0,0,0
139,Romania,2020-01-22,0,0,0
140,Russia,2020-01-22,0,0,0
141,Rwanda,2020-01-22,0,0,0
